row_id,order_key,customer_key,product_key,ship_key,time_key,sales
1,1,1,1,1,1008,261.96
2,1,1,2,1,1008,731.94
3,2,2,3,2,861,14.62
4,3,3,4,3,622,957.5775
5,3,3,5,3,622,22.368
6,4,4,6,4,151,48.86
7,4,4,7,4,151,7.28
8,4,4,8,4,151,907.152
9,4,4,9,4,151,18.504
10,4,4,10,4,151,114.9
11,4,4,11,4,151,1706.184
12,4,4,12,4,151,911.424
13,5,5,13,5,1166,15.552
14,6,6,14,6,1035,407.976
15,7,7,15,7,663,68.81
16,7,7,16,7,663,2.544
17,8,8,17,8,304,665.88
18,9,9,18,9,124,55.5
19,10,10,19,10,228,8.56
20,10,10,20,10,228,213.48
21,10,10,21,10,228,22.72
22,11,11,22,11,1039,19.46
23,11,11,23,11,1039,60.34
24,12,12,24,12,1258,71.372
25,13,13,4,13,606,1044.63
26,14,14,25,14,717,11.648
27,14,14,26,14,717,90.57
28,15,15,27,15,598,3083.43
29,15,15,28,15,598,9.618
30,15,15,29,15,598,124.2
31,15,15,30,15,598,3.264
32,15,15,31,15,598,86.304
33,15,15,32,15,598,6.858
34,15,15,33,15,598,15.76
35,16,16,34,16,1353,29.472
36,17,17,35,17,1038,1097.544
37,17,17,36,17,1038,190.92
38,18,18,37,18,698,113.328
39,18,18,38,18,698,532.3992
40,18,18,39,18,698,212.058
41,18,18,40,18,698,371.168
42,19,19,41,19,1314,147.168
43,20,20,42,20,895,77.88
44,21,21,43,21,1323,95.616
45,22,22,44,22,769,45.98
46,22,22,45,22,769,17.46
47,23,23,46,23,282,211.96
48,24,24,47,24,869,45.0
49,24,24,48,24,869,21.8
50,25,25,49,25,450,38.22
51,25,25,50,25,450,75.18
52,25,25,51,25,450,6.16
53,25,25,52,25,450,89.99
54,26,26,53,26,1041,15.26
55,26,26,54,26,1041,1029.95
56,27,27,55,27,866,208.56
57,27,27,56,27,866,32.4
58,27,27,57,27,866,319.41
59,27,27,58,27,866,14.56
60,27,27,47,27,866,30.0
61,27,27,59,27,866,48.48
62,27,27,60,27,866,1.68
63,28,28,61,28,665,13.98
64,28,28,62,28,665,25.824
65,28,28,63,28,665,146.73
66,28,28,64,28,665,79.76
67,29,29,65,29,462,213.115
68,30,30,66,30,328,1113.024
69,30,30,67,30,328,167.968
70,31,31,68,31,854,75.88
71,32,32,69,32,957,4.616
72,33,15,70,33,1318,19.05
73,34,33,71,34,458,831.936
74,34,33,72,34,458,97.04
75,34,33,73,34,458,72.784
76,35,34,74,35,1404,1.248
77,35,34,75,35,1404,9.708
78,35,34,76,35,1404,27.24
79,36,33,77,36,319,19.3
80,37,35,78,37,861,208.16
81,37,35,79,37,861,16.74
82,38,36,80,38,274,14.9
83,38,36,81,38,274,21.39
84,39,37,82,39,584,200.984
85,40,38,83,40,1378,230.376
86,41,23,84,41,1209,301.96
87,42,39,85,42,1360,19.99
88,42,39,86,42,1360,6.16
89,43,40,87,43,794,158.368
90,44,41,88,44,956,20.1
91,44,41,41,44,956,73.584
92,44,41,89,44,956,6.48
93,45,42,90,45,379,12.96
94,45,42,91,45,379,53.34
95,45,42,92,45,379,32.96
96,46,43,93,46,1371,5.682
97,47,44,94,47,1374,96.53
98,48,45,95,48,1229,51.312
99,49,46,96,49,945,77.88
100,50,47,97,50,937,64.624
101,50,47,98,50,937,95.976
102,50,47,99,50,937,1.788
103,51,48,100,51,1031,23.92
104,52,49,101,52,654,238.896
105,52,49,102,52,654,102.36
106,52,49,103,52,654,36.882
107,53,50,104,53,1388,74.112
108,53,50,105,53,1388,27.992
109,53,50,106,53,1388,3.304
110,54,51,107,54,626,339.96
111,55,52,108,55,1420,41.96
112,56,53,109,56,1003,75.96
113,56,53,110,56,1003,27.24
114,57,54,111,57,226,40.096
115,57,54,112,57,226,4.72
116,57,54,113,57,226,23.976
117,57,54,114,57,226,130.464
118,58,55,115,58,405,787.53
119,59,56,116,59,438,157.794
120,60,57,117,37,861,47.04
121,60,57,9,37,861,30.84
122,60,57,118,37,861,226.56
123,60,57,119,37,861,115.02
124,60,57,120,37,861,68.04
125,61,58,121,60,349,600.558
126,62,59,122,61,252,617.7
127,63,60,123,46,1370,2.388
128,63,60,124,46,1370,243.992
129,64,61,65,62,1006,81.424
130,64,61,125,62,1006,238.56
131,65,62,126,63,1094,59.97
132,65,62,127,63,1094,78.304
133,65,62,128,63,1094,21.456
